HOST_COMMON_NAME,OBJID,RA,DEC,D_PROJ,DELTA_HRV,R,R_ABS,GR,MU_EFF,LOG_STELLAR_MASS,H_ALPHA,Z_SOURCE,INTERNAL_HOSTID,INTERNAL_OBJID
UGC00903,LS-432563-224,20.7772,17.8916,290,-1,17.06,-15.9,0.26,23.57,7.89,Y,ALFALF,nsa129237,4325630000000000224
UGC00903,LS-429811-3398,20.2850,17.6022,105,-78,17.26,-15.7,0.45,24.04,8.02,Y,MMT,nsa129237,4298110000000003398
UGC00903,LS-431187-1672,20.3280,17.7539,133,-70,18.13,-14.8,0.33,24.24,7.54,Y,MMT,nsa129237,4311870000000001672
UGC00903,LS-429812-2469,20.5362,17.5279,70,50,18.93,-14.0,0.21,23.90,7.08,Y,MMT,nsa129237,4298120000000002469
NGC1015,DES-313240666,39.9254,-1.4187,252,-9,16.91,-15.9,0.42,21.04,8.09,Y,MMT,nsa132339,313240666
NGC1015,DES-310691517,39.5360,-1.3965,50,-119,20.24,-12.6,0.19,23.82,6.51,Y,AAT,nsa132339,310691517
NGC1309,DES-353757883,50.4652,-15.7104,189,-106,14.83,-17.9,0.36,22.76,8.80,Y,6dF,nsa133355,353757883
NGC1309,DES-350665706,50.1913,-15.5749,220,-244,17.50,-15.2,0.37,22.03,7.74,Y,AAT,nsa133355,350665706
NGC1309,DES-353742769,50.9464,-15.4004,242,16,17.74,-15.0,0.51,22.33,7.79,N,AAT,nsa133355,353742769
PGC013646,DES-371747881,55.3397,-13.1446,248,55,15.97,-16.6,0.33,20.75,8.24,Y,AAT,nsa133549,371747881
PGC013646,DES-373383928,55.5682,-13.2170,189,-127,16.57,-16.0,0.31,21.14,7.97,Y,AAT,nsa133549,373383928
PGC013646,DES-373393030,55.5841,-13.4218,292,-175,17.44,-15.1,0.37,21.95,7.69,Y,AAT,nsa133549,373393030
ESO121-026,DES-467669052,95.7756,-59.5691,153,32,15.81,-16.9,0.22,21.76,8.26,Y,6dF,pgc18880,467669052
ESO121-026,DES-467510764,95.7327,-59.6675,108,74,19.20,-13.5,0.25,23.19,6.94,Y,AAT,pgc18880,467510764
NGC2543,NSA-162577,123.2432,36.1984,37,18,15.34,-17.6,0.30,21.42,8.61,Y,SDSS,nsa33446,162577
NGC2543,NSA-162596,123.6499,36.4344,246,-8,15.96,-16.9,0.33,24.96,8.39,Y,SDSS,nsa33446,162596
UGC04906,NSA-78947,139.4972,52.7426,160,65,14.41,-18.4,0.42,22.07,9.06,Y,SDSS,nsa16235,78947
UGC04906,NSA-648311,139.1897,53.4429,296,-45,14.42,-18.4,0.21,19.47,8.84,Y,SDSS,nsa16235,648311
UGC04906,NSA-78956,139.4444,53.2935,189,-22,15.39,-17.4,0.29,22.33,8.54,Y,SDSS,nsa16235,78956
UGC04906,LS-595052-1698,139.2389,53.0101,68,-209,16.69,-16.1,0.43,22.66,8.17,Y,MMT,nsa16235,5950520000000001698
UGC04906,LS-595052-1940,139.4253,53.0271,21,-96,17.70,-15.1,0.42,23.15,7.75,Y,MMT,nsa16235,5950520000000001940
UGC04906,LS-595921-1395,139.3098,53.2298,154,259,18.74,-14.1,0.42,24.03,7.34,Y,MMT+,nsa16235,5959210000000001395
NGC2962,NSA-192008,144.8430,4.9524,264,-87,15.50,-17.2,0.34,20.69,8.51,Y,SDSS+,nsa157374,192008
NGC2962,NSA-191990,145.2345,5.0449,73,-108,16.17,-16.5,0.25,23.64,8.15,Y,ALFALF,nsa157374,191990
NGC2962,NSA-82770,145.0880,4.7351,274,5,17.38,-15.3,0.20,22.66,7.61,Y,SDSS+,nsa157374,82770
NGC2962,LS-361164-2394,145.1227,5.2311,73,160,18.60,-14.1,0.48,24.47,7.42,Y,PAL,nsa157374,3611640000000002394
NGC2967,NSA-195,145.3209,0.7711,248,65,16.85,-15.5,0.33,20.64,7.83,Y,SDSS,nsa32,195
NGC2967,LS-330948-4542,145.1122,0.0426,259,-5,21.68,-10.7,0.10,24.86,5.65,Y,ALFALF,nsa32,3309480000000004542
NGC3689,LS-474605-827,172.0746,25.6697,18,240,17.50,-15.5,0.60,23.73,8.11,N,MMT,nsa139467,4746050000000000827
NGC3689,LS-473304-3777,172.0184,25.5538,76,-168,17.60,-15.4,0.47,24.48,7.93,N,PAL,nsa139467,4733040000000003777
NGC3976,NSA-328500,179.0103,6.6779,46,-16,14.97,-17.8,0.48,21.71,8.91,N,SDSS,nsa140458,328500
NGC3976,NSA-328502,179.2801,6.6755,186,-10,16.97,-15.8,0.40,23.26,8.01,Y,SDSS+,nsa140458,328502
NGC4158,NSA-542307,182.9907,20.0279,150,-37,14.39,-18.4,0.36,20.20,9.02,Y,SDSS+,nsa161174,542307
NGC4158,1237668298203070473,182.4280,20.0469,230,60,16.75,-16.1,0.37,23.31,8.09,Y,ALFALF,nsa161174,1237668298203070473
NGC4158,LS-446799-3923,182.6898,20.5927,270,118,18.16,-14.6,0.25,23.80,7.39,Y,MMT,nsa161174,4467990000000003923
NGC4158,LS-444092-4124,182.8481,20.0633,78,-84,19.78,-13.0,0.29,23.25,6.78,Y,MMT,nsa161174,4440920000000004124
NGC4158,LS-444093-4832,183.1177,20.1081,197,16,19.84,-13.0,0.32,23.99,6.79,Y,MMT,nsa161174,4440930000000004832
NGC4348,LS-310953-4341,185.5829,-3.4094,203,-48,20.31,-12.1,0.13,23.78,6.23,Y,AAT,nsa3469,3109530000000004341
NGC4454,NSA-19694,187.2117,-2.0609,74,160,14.30,-18.4,0.62,20.70,9.31,Y,SDSS+,nsa141465,19694
NGC4454,LS-321038-4238,187.5895,-1.6383,297,-152,16.91,-15.8,0.23,24.25,7.84,Y,2dF,nsa141465,3210380000000004238
NGC4454,NSA-628407,187.2415,-1.6030,208,204,18.48,-14.3,0.61,23.42,7.63,Y,NSA,nsa141465,628407
NGC4454,LS-321038-2612,187.5592,-1.7291,250,-163,19.88,-12.9,0.35,23.93,6.78,Y,AAT,nsa141465,3210380000000002612
NGC5297,NSA-677369,206.5777,43.8514,15,-154,13.96,-18.8,0.50,20.80,9.32,Y,SDSS,nsa143856,677369
NGC5297,NSA-265851,207.0967,43.7087,245,-139,14.96,-17.8,0.31,21.73,8.72,Y,SDSS,nsa143856,265851
NGC5297,LS-558703-937,206.6083,43.4521,260,54,16.58,-16.2,0.33,23.89,8.09,Y,MMT,nsa143856,5587030000000000937
NGC5297,1237661852013166857,206.9900,43.5872,248,82,17.75,-15.0,0.53,23.00,7.84,N,PAL,nsa143856,1237661852013166857
NGC5297,LS-561826-172,206.2129,44.1393,238,63,19.03,-13.7,0.50,22.96,7.30,N,MMT,nsa143856,5618260000000000172
NGC5297,LS-561826-1312,206.2337,44.2385,279,55,19.58,-13.2,0.30,25.48,6.85,Y,MMT,nsa143856,5618260000000001312
NGC5297,LS-561826-847,206.2622,44.1987,251,144,19.74,-13.0,0.37,22.82,6.87,N,MMT,nsa143856,5618260000000000847
NGC5347,LS-513578-3277,208.2657,33.5912,67,149,18.19,-14.5,0.41,22.59,7.51,Y,MMT,nsa94340,5135780000000003277
NGC5347,LS-513579-159,208.4808,33.3850,101,33,18.72,-14.0,0.42,23.72,7.31,Y,MMT,nsa94340,5135790000000000159
NGC5448,NSA-339206,210.2074,49.5161,277,-169,14.55,-18.1,0.39,24.33,8.92,Y,SDSS,nsa69028,339206
NGC5448,NSA-630990,210.2220,49.3748,220,-165,15.06,-17.6,0.42,23.43,8.74,Y,NSA,nsa69028,630990
NGC5448,NSA-339202,210.1000,49.4443,281,-26,15.62,-17.0,0.44,22.28,8.55,Y,SDSS,nsa69028,339202
NGC5448,NSA-339134,210.8700,48.9655,136,-18,16.79,-15.8,0.47,23.45,8.10,Y,SDSS,nsa69028,339134
NGC5448,LS-582565-481,210.8297,49.4151,149,17,18.18,-14.5,0.33,25.29,7.39,Y,MMT,nsa69028,5825650000000000481
NGC5602,NSA-208848,215.4049,50.3903,93,75,14.14,-18.5,0.69,20.35,9.43,Y,SDSS,nsa144953,208848
NGC5602,NSA-208508,215.4590,50.3884,80,169,16.52,-16.2,0.36,22.34,8.10,Y,SDSS,nsa144953,208508
NGC5602,NSA-208516,214.8035,50.4409,295,0,17.50,-15.2,0.39,23.26,7.75,Y,SDSS,nsa144953,208516
NGC5602,1237659119323119642,215.4408,50.5062,52,-65,17.53,-15.1,0.38,22.91,7.73,Y,MMT,nsa144953,1237659119323119642
NGC5602,LS-587209-635,215.5340,50.6674,100,-180,18.32,-14.4,0.52,25.73,7.56,N,MMT,nsa144953,5872090000000000635
NGC5604,LS-311074-3415,215.9066,-3.4513,246,-60,18.08,-14.9,0.24,25.46,7.48,Y,AAT,nsa35340,3110740000000003415
NGC5604,LS-312512-3375,215.8357,-3.1983,233,20,19.50,-13.5,0.32,23.39,6.99,Y,AAT,nsa35340,3125120000000003375
NGC5604,LS-312514-628,216.3962,-3.3346,170,233,20.04,-12.9,0.32,24.82,6.78,Y,AAT,nsa35340,3125140000000000628
NGC5690,NSA-74334,219.9139,2.5818,262,-111,15.97,-16.1,0.37,22.77,8.12,Y,SDSS+,nsa145372,74334
NGC5690,NSA-74161,218.9589,2.6061,256,-188,16.08,-16.0,0.27,23.74,7.96,Y,SDSS+,nsa145372,74161
NGC5690,LS-342766-1926,219.6106,1.9336,185,66,17.93,-14.2,0.65,23.30,7.64,N,GAMA,nsa145372,3427660000000001926
NGC5750,NSA-14784,221.3160,-0.1599,105,30,14.87,-17.2,0.42,21.78,8.57,Y,SDSS+,nsa165536,14784
NGC5792,NSA-171561,225.0054,-1.0913,202,-36,14.73,-17.5,0.26,20.74,8.56,Y,SDSS+,nsa145729,171561
NGC5792,NSA-171385,224.5327,-1.3126,113,38,15.21,-17.1,0.57,21.68,8.70,Y,SDSS+,nsa145729,171385
NGC5792,LS-328387-73,224.9713,-0.6169,298,-132,16.94,-15.3,0.34,24.20,7.76,Y,AAT,nsa145729,3283870000000000073
NGC5962,NSA-685595,234.1329,16.4405,81,-68,14.28,-18.0,0.51,22.05,8.99,Y,SDSS+,nsa166313,685595
NGC5962,NSA-571923,233.7870,16.8704,205,27,15.39,-16.8,0.37,22.66,8.40,Y,SDSS+,nsa166313,571923
NGC6181,NSA-337507,247.8399,20.1841,251,193,13.24,-19.4,0.57,21.35,9.65,Y,NSA,nsa147100,337507
NGC6181,NSA-337485,248.3932,19.9461,183,84,15.63,-17.0,0.40,20.02,8.49,Y,SDSS,nsa147100,337485
NGC6181,1237662698115432544,248.0513,19.6957,77,100,16.66,-16.0,0.38,22.22,8.07,Y,AAT+,nsa147100,1237662698115432544
NGC6181,LS-444337-4335,247.8755,20.0948,197,119,16.72,-15.9,0.31,24.29,7.97,Y,SDSS,nsa147100,4443370000000004335
NGC6181,NSA-633453,247.8259,20.2109,269,78,16.89,-15.8,0.34,23.44,7.93,Y,NSA,nsa147100,633453
NGC6181,LS-442982-4210,248.1526,19.8095,36,-84,17.30,-15.3,0.38,24.34,7.81,Y,MMT,nsa147100,4429820000000004210
NGC6181,LS-442983-1849,248.5809,19.7198,279,66,18.03,-14.6,0.34,24.79,7.48,Y,AAT+,nsa147100,4429830000000001849
NGC6181,1237662224092496776,248.1954,19.8670,64,99,18.59,-14.1,0.23,23.04,7.13,Y,MMT,nsa147100,1237662224092496776
NGC6181,LS-444338-475,248.2119,19.9001,81,57,19.14,-13.5,0.45,24.37,7.15,N,PAL,nsa147100,4443380000000000475
NGC6181,LS-442982-3970,248.1636,19.7923,45,-124,20.84,-11.8,0.10,23.92,6.08,Y,MMT,nsa147100,4429820000000003970
NGC6278,NSA-343657,255.1879,23.0440,26,-48,13.88,-19.1,0.39,19.96,9.33,Y,SDSS,nsa147606,343657
NGC6278,NSA-687367,255.0608,23.1063,114,189,14.16,-18.8,0.25,22.22,9.06,Y,SDSS,nsa147606,687367
NGC6278,NSA-343463,255.5795,23.0765,237,128,15.83,-17.2,0.27,20.66,8.41,Y,SDSS,nsa147606,343463
NGC6278,NSA-343648,255.5052,23.1634,213,218,15.93,-17.1,0.23,22.87,8.32,Y,SDSS,nsa147606,343648
NGC6278,1237662301379166288,255.3735,22.7311,218,15,17.27,-15.7,0.37,22.03,7.95,Y,SDSS,nsa147606,1237662301379166288
NGC6278,NSA-633932,255.1382,22.8660,109,-167,17.70,-15.3,0.30,22.62,7.70,Y,NSA,nsa147606,633932
NGC6278,LS-459131-5790,255.3576,22.8730,133,32,19.06,-13.9,0.39,24.43,7.26,Y,MMT,nsa147606,4591310000000005790
NGC6278,LS-461785-3431,254.9681,23.2804,239,150,19.16,-13.8,0.44,23.51,7.27,Y,MMT,nsa147606,4617850000000003431
NGC6278,LS-459129-1060,254.9390,22.6673,291,82,19.95,-13.0,0.35,24.29,6.85,Y,MMT,nsa147606,4591290000000001060
NGC6909,DES-168457190,306.9106,-46.9880,24,205,15.82,-16.9,0.63,21.48,8.72,N,AAT,pgc64725,168457190
NGC6909,DES-170146699,307.5227,-47.1748,273,-63,16.24,-16.5,0.48,21.26,8.39,Y,AAT,pgc64725,170146699
NGC6909,DES-168455364,306.2666,-46.9370,279,50,18.19,-14.6,0.52,23.87,7.66,N,AAT,pgc64725,168455364
NGC6909,DES-168615265,306.6276,-47.4109,266,-75,18.20,-14.6,0.39,22.06,7.51,Y,AAT,pgc64725,168615265
NGC7029,DES-188054728,317.9267,-49.1875,66,162,17.35,-15.6,0.62,22.84,8.15,N,AAT,pgc66318,188054728
NGC7029,DES-188072275,318.0170,-49.4633,121,12,17.53,-15.4,0.63,23.64,8.10,N,AAT,pgc66318,188072275
NGC7029,DES-188072825,317.9191,-49.4568,116,45,17.71,-15.2,0.52,21.97,7.91,Y,2dF,pgc66318,188072825
NGC7029,DES-191931631,318.1685,-49.6251,242,-155,17.90,-15.0,0.42,22.31,7.73,Y,AAT,pgc66318,191931631
NGC7029,DES-188058282,317.7678,-49.2384,91,-86,18.14,-14.8,0.49,22.37,7.70,Y,AAT,pgc66318,188058282
NGC7079,DES-206747419,323.6315,-44.3144,270,-113,13.16,-19.7,0.39,21.95,9.54,Y,6dF,pgc66934,206747419
NGC7079,DES-201237392,322.8677,-43.9600,144,57,15.89,-16.9,0.51,22.28,8.58,Y,AAT,pgc66934,201237392
NGC7079,DES-203016260,322.9709,-43.6539,274,-77,16.85,-16.0,0.36,23.52,8.04,N,AAT,pgc66934,203016260
NGC7079,DES-203024920,322.9955,-43.7851,192,-232,17.55,-15.3,0.46,23.42,7.87,Y,AAT,pgc66934,203024920
ESO288-025,DES-247129294,330.2345,-43.8028,179,21,16.90,-15.8,0.44,23.19,8.05,Y,AAT,pgc67782,247129294
ESO288-025,DES-247126789,329.7579,-43.7531,73,84,18.38,-14.3,0.31,22.65,7.31,Y,AAT,pgc67782,247126789
NGC7166,DES-219806824,330.1490,-43.1405,145,-187,14.59,-18.0,0.47,22.27,8.98,Y,6dF,pgc67817,219806824
NGC7166,DES-247094045,330.5277,-43.2685,180,185,16.32,-16.3,0.26,22.03,8.06,Y,6dF,pgc67817,247094045
NGC7166,DES-72187492,330.7073,-43.4457,244,55,16.61,-16.0,0.39,23.98,8.09,Y,AAT,pgc67817,72187492
NGC7166,DES-247096912,330.4219,-43.3113,129,181,16.98,-15.7,0.56,25.00,8.13,Y,AAT,pgc67817,247096912
NGC7166,DES-247092888,330.5717,-43.2322,206,-132,18.21,-14.4,0.45,23.52,7.52,Y,AAT,pgc67817,247092888
NGC7166,DES-219810437,330.3291,-43.1353,169,-259,19.39,-13.2,0.15,23.46,6.71,Y,AAT,pgc67817,219810437
PGC068743,NSA-636065,336.0479,-3.4834,98,-17,13.42,-19.5,0.40,22.55,9.51,Y,6dF,nsa149781,636065
PGC068743,NSA-636047,335.8363,-3.6598,164,195,14.86,-18.1,0.57,21.65,9.12,Y,6dF,nsa149781,636047
PGC068743,LS-312992-1567,335.9799,-3.2706,118,14,15.94,-17.0,0.59,22.20,8.72,Y,AAT,nsa149781,3129920000000001567
PGC068743,LS-311554-3218,335.9729,-3.4296,40,-85,17.84,-15.1,0.63,23.28,8.00,N,MMT,nsa149781,3115540000000003218
PGC068743,LS-310115-2825,335.9540,-3.7010,185,-30,19.54,-13.4,0.22,24.25,6.87,Y,AAT,nsa149781,3101150000000002825
NGC7328,LS-390486-3250,339.3833,10.3132,148,-21,18.90,-14.1,0.38,24.01,7.29,N,PAL,nsa149977,3904860000000003250
NGC7541,NSA-637123,348.6438,4.4984,34,11,12.71,-20.2,0.67,19.85,10.07,Y,ALFALF,nsa150887,637123
NGC7541,LS-359104-131,348.6965,4.6396,70,182,14.40,-18.5,0.25,23.86,8.93,Y,ALFALF,nsa150887,3591040000000000131
NGC7541,LS-356233-3798,348.7769,4.3732,123,-13,15.31,-17.6,0.52,23.21,8.86,Y,MMT,nsa150887,3562330000000003798
NGC7541,LS-357669-3767,348.8745,4.6131,137,68,16.13,-16.8,0.37,24.18,8.37,Y,ALFALF,nsa150887,3576690000000003767
NGC7541,LS-357668-2728,348.6214,4.5073,44,-121,18.01,-14.9,0.48,23.47,7.74,N,AAT,nsa150887,3576680000000002728
NGC7541,LS-360540-737,348.5546,4.9151,267,125,20.77,-12.1,0.06,24.29,6.18,Y,MMT,nsa150887,3605400000000000737
NGC7716,NSA-31702,354.3508,0.3910,144,119,13.70,-19.0,0.39,23.33,9.29,Y,SDSS+,nsa61945,31702
NGC7716,NSA-31683,354.1952,0.6234,200,59,15.61,-17.1,0.41,22.84,8.55,Y,SDSS+,nsa61945,31683
